,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
19091,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19092,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19093,TUR,Turkey,2020-05-31,18.0,1.0,0.0,0.0,0.012,0.012,0.0,0.0,,,,,,,,23.15,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19094,TUR,Turkey,2020-03-12,47.0,1.0,0.0,0.0,0.024,0.012,0.0,0.0,,,,,,,,23.15,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19095,TUR,Turkey,2020-03-13,98.0,16.0,0.0,0.0,0.213,0.19,0.0,0.0,,,,,,,,52.78,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19096,TUR,Turkey,2020-03-16,191.0,29.0,0.0,0.0,0.557,0.344,0.0,0.0,,,,,,,,52.78,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19097,TUR,Turkey,2020-03-17,359.0,51.0,0.0,0.0,1.162,0.605,0.0,0.0,10018.0,,0.11900000000000001,,,,tests performed,58.33,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19098,TUR,Turkey,2020-03-18,670.0,93.0,1.0,1.0,2.265,1.103,0.012,0.012,11999.0,1981.0,0.142,0.023,,,tests performed,58.33,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19099,TUR,Turkey,2020-03-19,947.0,168.0,4.0,3.0,4.257,1.992,0.047,0.036000000000000004,15655.0,3656.0,0.18600000000000003,0.043,,,tests performed,58.33,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19100,TUR,Turkey,2020-03-20,1236.0,311.0,9.0,5.0,7.944,3.687,0.107,0.059000000000000004,18607.0,2952.0,0.221,0.035,,,tests performed,62.04,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19101,TUR,Turkey,2020-03-21,1529.0,277.0,21.0,12.0,11.228,3.284,0.249,0.142,20345.0,1738.0,0.24100000000000002,0.021,,,tests performed,62.04,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19102,TUR,Turkey,2020-03-22,1872.0,289.0,30.0,9.0,14.655,3.427,0.35600000000000004,0.107,24017.0,3672.0,0.285,0.044000000000000004,,,tests performed,62.04,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19103,TUR,Turkey,2020-03-23,2433.0,293.0,37.0,7.0,18.129,3.4739999999999998,0.439,0.083,27969.0,3952.0,0.332,0.047,,,tests performed,64.81,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19104,TUR,Turkey,2020-03-24,3629.0,343.0,44.0,7.0,22.195999999999998,4.067,0.522,0.083,33004.0,5035.0,0.391,0.06,3284.0,0.039,tests performed,64.81,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19105,TUR,Turkey,2020-03-25,5698.0,561.0,59.0,15.0,28.848000000000003,6.652,0.7,0.17800000000000002,40290.0,7286.0,0.478,0.086,4042.0,0.048,tests performed,64.81,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19106,TUR,Turkey,2020-03-26,7402.0,1196.0,75.0,16.0,43.028999999999996,14.181,0.889,0.19,47823.0,7533.0,0.5670000000000001,0.08900000000000001,4595.0,0.054000000000000006,tests performed,67.59,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19107,TUR,Turkey,2020-03-27,9217.0,2069.0,92.0,17.0,67.561,24.531999999999996,1.091,0.20199999999999999,55464.0,7641.0,0.6579999999999999,0.091,5265.0,0.062,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19108,TUR,Turkey,2020-03-28,10827.0,1704.0,108.0,16.0,87.765,20.204,1.281,0.19,65446.0,9982.0,0.7759999999999999,0.11800000000000001,6443.0,0.076,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19109,TUR,Turkey,2020-03-29,13531.0,1815.0,131.0,23.0,109.285,21.52,1.5530000000000002,0.273,76981.0,11535.0,0.9129999999999999,0.13699999999999998,7566.0,0.09,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19110,TUR,Turkey,2020-03-30,15679.0,1610.0,168.0,37.0,128.375,19.09,1.992,0.439,92403.0,15422.0,1.0959999999999999,0.183,9205.0,0.109,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19111,TUR,Turkey,2020-03-31,18135.0,2704.0,214.0,46.0,160.436,32.061,2.537,0.545,106799.0,14396.0,1.266,0.171,10542.0,0.125,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19112,TUR,Turkey,2020-04-01,20921.0,2148.0,277.0,63.0,185.90400000000002,25.469,3.284,0.747,106799.0,18757.0,1.489,0.222,12181.0,0.14400000000000002,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19113,TUR,Turkey,2020-04-02,23934.0,2456.0,356.0,79.0,215.025,29.121,4.221,0.937,141716.0,16160.0,1.68,0.192,13413.0,0.159,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19114,TUR,Turkey,2020-04-03,27069.0,2786.0,425.0,69.0,248.058,33.033,5.039,0.818,161380.0,19664.0,1.913,0.233,15131.0,0.179,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19115,TUR,Turkey,2020-04-04,30217.0,3013.0,501.0,76.0,283.783,35.725,5.94,0.9009999999999999,181445.0,20065.0,2.151,0.23800000000000002,16571.0,0.196,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19116,TUR,Turkey,2020-04-05,34109.0,3135.0,574.0,73.0,320.954,37.171,6.806,0.866,202845.0,21400.0,2.405,0.254,17981.0,0.213,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19117,TUR,Turkey,2020-04-06,38226.0,3148.0,649.0,75.0,358.28,37.326,7.695,0.889,228868.0,26023.0,2.714,0.309,19495.0,0.231,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19118,TUR,Turkey,2020-04-07,42282.0,3892.0,725.0,76.0,404.42699999999996,46.147,8.596,0.9009999999999999,247768.0,18900.0,2.938,0.22399999999999998,20138.0,0.239,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19119,TUR,Turkey,2020-04-08,47029.0,4117.0,812.0,87.0,453.24199999999996,48.815,9.628,1.032,276338.0,28570.0,3.2769999999999997,0.33899999999999997,21540.0,0.255,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19120,TUR,Turkey,2020-04-09,52167.0,4056.0,908.0,96.0,501.334,48.092,10.765999999999998,1.138,307210.0,30872.0,3.6430000000000002,0.366,23642.0,0.28,tests performed,78.7,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
19121,TUR,Turkey,2020-04-10,56956.0,4747.0,1006.0,98.0,557.618,56.285,11.927999999999999,1.162,340380.0,33170.0,4.0360000000000005,0.39299999999999996,25571.0,0.303,tests performed,80.56,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
